State,Population,AreaInSqKm,DensityPerSqKm
Uttarakhand,10116752,53483,189
Bihar,103804637,94163,1102
Mizoram,1091014,21081,52
Maharashta,112372972,307713,365
Jammu and Kashmir,12548926,222236,57
Arunachal Pradesh,1382611,0,0
Goa,1457723,3702,394
Nagaland,1980602,16579,119
Uttar Pradesh,199812341,240928,828
Haryana,25353081,44212,573
Chattisgarh,25540196,135191,189
Manipur,2721756,22327,122
Punjab,27704236,50362,550
Meghalaya,2964007,22429,132
Assam,31169272,78438,397
Jharkhand,32966238,79714,414
Kerala,33387677,38863,859
Telangana,35286757,114840,307
Tripura,3671032,10486,350
Odisha,41947358,155707,269
Andhra Pradesh,49386799,162968,303
Gujarat,60383628,196024,308
Sikkim,607688,7096,86
Karnataka,61130704,191791,319
Rajasthan,68621012,342239,201
Himachal Pradesh,6864602,55673,123
Tamil Nadu,72138958,130058,555
Madhya Pradesh,72597565,308245,236
West Bengal,91347736,88752,1029
